Item Name	Type	Description	Effect/Modifier	Area of Effect	Duration	Uses	Range	Cost (eb)	Availability	Vs_Stat/Check	DV	Reliability	Special Notes	Source
Nanoagent Upholstery Cleaner	Utility/Nanotech/Tool	Nano spray cleans/disinfects upholstery, carpets, seats, 10 uses/tube	+2 to Tech/Cleaning, 3 months shelf life	[TBD]	[TBD]	[TBD]	[TBD]	37	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, runners, fixers, nomads	Replace after 10 uses|Chromebook 3 p.4
Quick-Store Folding Tote	Utility/Tool/Field	Reusable, collapsible tote for gear, shopping, up to 12kg, 20 uses	+2 to Admin/Logistics, waterproof, fits pocket	[TBD]	[TBD]	[TBD]	[TBD]	14	Common/Field/Outdoors/Shop/Street	Admin/Logistics vs. 10	[TBD]	[TBD]	Nomad, tech, runner, fixer gear	Inspect for tears after use|Chromebook 3 p.19
Weatherproof ID Holder	Utility/Field/Admin	Rugged, waterproof ID card holder with clip, fits badge/datachip	+2 to Admin/Field Logistics, fits belt/pocket	[TBD]	[TBD]	[TBD]	[TBD]	13	Common/Field/Office/Street	Admin/Logistics vs. 10	[TBD]	[TBD]	Nomad, fixer, runner, tech gear	Inspect after heavy use|Chromebook 3 p.19
Nanoagent Carpet Cleaner	Utility/Nanotech/Tool	Nano spray for deep-cleaning carpets, 10 uses/tube, 3 months shelf	+2 to Tech/Cleaning, safe for most fibers	[TBD]	[TBD]	[TBD]	[TBD]	38	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, runners, fixers, nomads	Replace after 10 uses|Chromebook 3 p.4
Quick-Change Decal Sheet	Utility/Field/Admin	Peel-off, customizable decals for quick marking/ID, 10 per sheet	+2 to Admin/Logistics, single use per decal	[TBD]	[TBD]	[TBD]	[TBD]	12	Common/Field/Office/Street	Admin/Logistics vs. 10	[TBD]	[TBD]	Nomad, fixer, runner, tech gear	Replace after use|Chromebook 3 p.19
Nanoagent Gear Protector	Utility/Nanotech/Tool	Nano spray coats/protects gear from dirt, liquids, grime, 10 uses/tube	+2 to Tech/Maintenance, 3 months shelf life	[TBD]	[TBD]	[TBD]	[TBD]	48	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, fixers, nomads, runners	Replace after 10 uses|Chromebook 3 p.4
Personal Wind Gauge	Utility/Tool/Field	Pocket digital gauge shows wind speed, direction, 1yr batt	+2 to Survival/Field Admin, 35g	[TBD]	[TBD]	[TBD]	[TBD]	16	Common/Field/Outdoors/Shop/Street	Survival/Admin vs. 10	[TBD]	[TBD]	Nomad, fixer, runner, tech gear	Replace battery annually|Chromebook 3 p.19
Quick-Pull Key Reel	Utility/Tool/Field	Retractable steel cord for keys/gear, 1.5m reach, 10 per pack	+2 to Admin/Logistics, reusable, 40g	[TBD]	[TBD]	[TBD]	[TBD]	9	Common/Field/Shop/Outdoors	Admin/Logistics vs. 10	[TBD]	[TBD]	Nomad, tech, runner, fixer gear	Inspect monthly|Chromebook 3 p.7
Nanoagent Odor Remover	Utility/Nanotech/Tool	Nano spray eliminates odors, freshens gear/space, 10 uses/tube	+2 to Tech/Cleaning, 3 months shelf life	[TBD]	[TBD]	[TBD]	[TBD]	32	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, fixers, runners, nomads	Replace after 10 uses|Chromebook 3 p.4
Quick-Cinch Utility Rope	Utility/Tool/Field	Weatherproof rope with self-tightening cinch, 10m, 4 per pack	+2 to Climb/Logistics, supports 200kg, reusable	[TBD]	[TBD]	[TBD]	[TBD]	27	Common/Field/Outdoors/Street	Climb/Logistics vs. 12	[TBD]	[TBD]	Nomad, tech, runner, fixer gear	Inspect after use|Chromebook 2 p.65
Personal Headlamp	Utility/Tool/Field	Adjustable, battery-powered headlamp for hands-free light, 16hr batt	+2 to Awareness/Notice, waterproof, 80g	[TBD]	[TBD]	[TBD]	[TBD]	22	Common/Field/Outdoors/Shop/Street	Awareness/Notice vs. 10	[TBD]	[TBD]	Nomad, fixer, runner, tech gear	Replace battery after 16hr|Chromebook 3 p.19
Nanoagent Car Polish	Utility/Nanotech/Tool	Nano spray polishes/protects auto exterior, 10 uses/tube	+2 to Tech/Maintenance, 3 months shelf life	[TBD]	[TBD]	[TBD]	[TBD]	43	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, fixers, nomads, runners	Replace after 10 uses|Chromebook 3 p.4
Nanoagent Universal Cleaner	Utility/Nanotech/Tool	Nano spray cleans all surfaces, anti-static, anti-microbial, 10 uses/tube	+2 to Tech/Cleaning, 3 months shelf life	[TBD]	[TBD]	[TBD]	[TBD]	50	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, runners, nomads, fixers	Replace after 10 uses|Chromebook 3 p.4
Quick-Fold Workbench	Utility/Tool/Field	Folding, portable workbench for field repair/admin, 10kg load	+2 to Tech/Field Repair/Admin, reusable, 3kg	[TBD]	[TBD]	[TBD]	[TBD]	65	Common/Field/Outdoors/Shop/Street	TECH/Admin vs. 10	[TBD]	[TBD]	Nomad, tech, runner, fixer gear	Inspect after use|Chromebook 3 p.19
Personal Folding Utility Knife	Utility/Tool/Field/Fashion	Multi-function folding blade for cutting, prying, gear, 12 uses	+2 to Tech/Field Repair, 80g, pocket-sized	[TBD]	[TBD]	[TBD]	[TBD]	26	Common/Field/Outdoors/Shop/Street	TECH vs. 10	[TBD]	[TBD]	Nomad, fixer, runner, tech gear	Replace blade after 12 uses|Chromebook 3 p.7
Nanoagent Graffiti Blocker	Utility/Nanotech/Tool	Nano spray prevents graffiti/paint adherence, 10 uses/tube	+2 to Tech/Maintenance, 3 months shelf life	[TBD]	[TBD]	[TBD]	[TBD]	49	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, city crews, runners, fixers	Replace after 10 uses|Chromebook 3 p.4
Quick-Link Gear Carabiner	Utility/Tool/Field/Survival	Fast-clip carabiner for attaching gear, 10 per pack, supports 200kg	+2 to Climb/Logistics, reusable, 40g	[TBD]	[TBD]	[TBD]	[TBD]	21	Common/Field/Outdoors/Shop/Street	Climb/Logistics vs. 12	[TBD]	[TBD]	Nomad, tech, runner, fixer gear	Inspect after use|Chromebook 2 p.65
Personal Reflective Marker	Utility/Survival/Field	Clip-on reflective marker for night/safety, 10 per pack, 30g	+2 to Survival/Rescue/Field Admin, reusable	[TBD]	[TBD]	[TBD]	[TBD]	17	Common/Field/Outdoors/Shop/Street	Survival/Admin vs. 10	[TBD]	[TBD]	Nomad, fixer, runner, tech gear	Inspect monthly|Chromebook 3 p.19
Nanoagent Circuit Restorer	Utility/Nanotech/Tool	Nano spray repairs/restores damaged circuits, 10 uses/tube	+2 to Tech/Electronics, 3 months shelf life	[TBD]	[TBD]	[TBD]	[TBD]	58	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, runners, fixers, nomads	Replace after 10 uses|Chromebook 3 p.4
Quick-Clean Utility Sponge	Utility/Tool/Field/Shop	Reusable, super-absorbent cleaning sponge, 20 uses, 0.1kg	+2 to Tech/Cleaning, anti-bac, quick-dry	[TBD]	[TBD]	[TBD]	[TBD]	10	Common/Field/Shop/Outdoors	TECH vs. 10	[TBD]	[TBD]	Nomad, tech, runner, fixer gear	Replace after 20 uses|Chromebook 3 p.19
Nanoagent Fabric Protector	Utility/Nanotech/Tool	Nano spray repels stains/liquid on clothing, 10 uses/tube	+2 to Tech/Maintenance, 3 months shelf life	[TBD]	[TBD]	[TBD]	[TBD]	41	Common/Shop/Field/Lab	TECH vs. 12	[TBD]	[TBD]	Used by techs, runners, nomads, fixers	Replace after 10 uses|Chromebook 3 p.4
Quick-Hang Utility Hook	Utility/Tool/Field	Adhesive hook for hanging gear/field items	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]
