Source	Vehicle_Name	Vehicle_Type	Manufacturer	Description	Armor_Rating	Speed	Handling	Crew_Capacity	Passenger_Capacity	Cargo_Capacity	Cost	Availability	Special_Features
Chromebook 2 p.54	Barracuda Class Speedboat	Boat	Barracuda Marine	Fast patrol and assault boat	SP 15 hull	70 mph	-1	1	6	1000 kg	40,000 eb	Common	Mounted machine guns, radar, reinforced hull
Maximum Metal p.39	Seawolf Submarine	Boat	Seawolf Corp	Small covert attack submarine	SP 40 hull	25 knots	[TBD]	5	[TBD]	1000 kg	350,000 eb	Rare	Sonar stealth, torpedo tubes, advanced sensors
Chromebook 3-4 p.80	Blackhawk UAV	Drone	Militech	Unmanned aerial reconnaissance drone	SP 10	120 mph	+1	0	0	50 kg	75,000 eb	Rare	Equipped with cameras, remote control, lightweight armor
Chromebook 3-4 p.82	Wraith Recon Drone	Drone	Wraith Technologies	Stealth drone for surveillance and electronic warfare	SP 12	90 mph	+2	0	0	30 kg	90,000 eb	Rare	EM jamming, silent rotors, encrypted comms
Chromebook 2 p.34	Starmax Interceptor	Car	Starmax Motors	High-performance street interceptor car designed for pursuit and rapid response	SP 18	210 mph	+1	1	1	[TBD]	45,000 eb	Common	Reinforced chassis, advanced suspension, turbo boost
Chromebook 3-4 p.15	Urban Runner	Car	Eurodyne	Compact, heavily armored urban runabout popular with corporate executives	SP 25	140 mph	0	1	4	200 kg	60,000 eb	Common	Armored glass, internal comms, limited stealth coating
Chromebook 1 p.22	Mad Max Style Roadster	Motorcycle	Nomad Custom	Lightweight, highly modifiable motorcycle favored by nomads and street racers	SP 5	120 mph	+2	1	1	20 kg	18,000 eb	Common	Custom engines, reinforced frame, optional light armor
Maximum Metal p.32	Lazarus APC	Armored Personnel Carrier	Lazarus Military Group	Heavy armored personnel carrier used by mercenary units	SP 50 front/side/rear	85 mph	-3	3	10	4000 kg	500,000 eb	Rare	Heavy weapons mounts, smoke dispensers, EMP shield
Corpbook III p.38	Petrochem Hovertruck	Truck	Petrochem Corporation	Heavy hover-enabled logistics truck designed for rough terrain and high speed	SP 40 front/side/rear	90 mph	-4	2	2	6000 kg	375,000 eb	Rare	Hover capabilities, reinforced chassis, rear cargo ramp
Corpbook I p.44	Arasaka Stealth Boat	Boat	Arasaka Industries	High-speed stealth boat with advanced ECM and sensor masking	SP 18 hull	65 mph	+1	2	8	1500 kg	120,000 eb	Rare	Noise dampening, radar absorbent coatings, missile countermeasures
Maximum Metal p.37	Omega VTOL Gunship	Aircraft	Omega Aerospace	Heavy VTOL gunship designed for close air support and troop deployment	SP 55 front/side/rear	200 mph	-4	4	16	5000 kg	900,000 eb	Rare	Multi-weapon hardpoints, ECM suite, armor plating
Chromebook 3-4 p.79	Stealth Recon UAV	Drone	Stealth Dynamics	Small, near-silent drone optimized for electronic reconnaissance	SP 8	130 mph	+3	0	0	15 kg	100,000 eb	Rare	EM suppression, encrypted link, advanced optics
Maximum Metal p.47	Goliath Tank	Tank	Militech	Heavily armored main battle tank with heavy firepower	SP 90 front/side/rear	40 mph	-5	4	0	20000 kg	1,200,000 eb	Rare	Main gun, secondary turrets, reactive armor
Chromebook 2 p.38	Midnight Racer	Sports Car	Midnight Arms	High-speed racing car optimized for street races and chases	SP 12	220 mph	+3	1	1	[TBD]	120,000 eb	Rare	Advanced suspension, nitro boost, lightweight frame
Chromebook 3-4 p.27	Cerberus Hoverbike	Hovercycle	Cerberus Industries	Fast, agile hoverbike with limited armor for scouting and hit-and-run	SP 8	140 mph	+4	1	1	50 kg	85,000 eb	Rare	Stealth systems, ECM, rapid acceleration
Corpbook III p.52	SovOil Heavy Transport	Truck	SovOil Logistics	Heavy-duty cargo truck with reinforced armor and long haul capability	SP 50	75 mph	-4	2	1	20000 kg	450,000 eb	Common	Armored cab, extended fuel tanks, cargo locks
Maximum Metal p.34	Scarab Amphibious APC	Armored Personnel Carrier	Scarab Defense	Amphibious APC with medium armor and good all-terrain mobility	SP 40	70 mph	-3	3	8	3500 kg	425,000 eb	Rare	Amphibious, modular weapons, NBC filtration
Chromebook 3-4 p.55	Ion Thunder Transporter	Truck	Ion Tech	High-speed urban transporter truck with cyber-controls	SP 35	95 mph	-3	2	2	12000 kg	350,000 eb	Common	Remote piloting option, reinforced chassis
Maximum Metal p.90	Nemesis Combat Drone	Drone	Nemesis Dynamics	Autonomous armed drone designed for urban combat support	SP 25	110 mph	+1	0	0	100 kg	250,000 eb	Rare	Equipped with machine guns, targeting AI
